"","x"
"206","RT @riserefugee: Regardless of who wins the US elections, apart from US citizens, we non-US citizens, particularly from non OECD countries…"
"207","RT @riserefugee: Regardless of who wins the US elections, apart from US citizens, we non-US citizens, particularly from non OECD countries…"
"208","How U.S elects its President | How U.S Presidential Election Works

#USElection2020 #election2020 #USAElections2020 https://t.co/WGNM4oO1HB"
"209","Thank #god sensible intelligent people are in charge now @JoeBiden #USElection2020"
"210","RT @BettinaForget: Data visualization insights:
Land doesn't vote. People do.
#USElection2020 https://t.co/MJWKPftOsx"
"211","""... God so loved the world that he gave his one and only Son [Jesus Christ], that whoever believes in him shall no… https://t.co/PUiohut7ua"
"212","YOU CAN'T GIVE WHAT YOU DON'T HAVE - Humility and compassion are innately generated, you can't pretend about them -… https://t.co/mzqu1ECHyk"
"213","RT @BettinaForget: Data visualization insights:
Land doesn't vote. People do.
#USElection2020 https://t.co/MJWKPftOsx"
"214","RT @BettinaForget: Data visualization insights:
Land doesn't vote. People do.
#USElection2020 https://t.co/MJWKPftOsx"
"215","Thought you might be interested in some #inauguration and #uselection2020 data SleepScore Labs shared today #sleep… https://t.co/7E8SjQxI5u"
"216","RT @empire_bread: Are you an artist? base in Abuja? Do you need a Studio to record your song. Enjoy our 50% December promo. Contact us @4th…"
"217","RT @empire_bread: Are you an artist? base in Abuja? Do you need a Studio to record your song. Enjoy our 50% December promo. Contact us @4th…"
"218","RT @empire_bread: Are you an artist? base in Abuja? Do you need a Studio to record your song. Enjoy our 50% December promo. Contact us @4th…"
"219","RT @womenlovetech: <U+0001F44F> Madam Vice President 

#kamalaharris #congress #uselection #uselection2020 #whitehouse #biden #femaleempowerment #fema…"
"220","RT @jackwhitehall: If they both end up with the same number of electoral college votes does it go to a super over? #USElection2020"
"221","Great read: Nonviolent Activists Laid the Groundwork to Oppose a Coup. They May Have Saved the Republic. Thanks for… https://t.co/RIrHYFbz1C"
"222","The #USElection2020 was obviously a fraud. They try to convince us that Kanye West got under 1% of votes? They real… https://t.co/jzS1Rk1Blg"
"223","RT @ThaGuru_: Still the greatest proposal video I've ever watched on the internet.

#Icon #VALRMA Fajr #Borat #USElection2020
https://t.co/…"
"224","Highlights from a presidential inauguration like no other @TheCanaryUK https://t.co/0CtrA18B8X #Trending #US… https://t.co/YAVj6FFpzf"
"225","RT @womenlovetech: <U+0001F44F> Madam Vice President 

#kamalaharris #congress #uselection #uselection2020 #whitehouse #biden #femaleempowerment #fema…"
"226","RT @BettinaForget: Data visualization insights:
Land doesn't vote. People do.
#USElection2020 https://t.co/MJWKPftOsx"
"227","RT @BettinaForget: Data visualization insights:
Land doesn't vote. People do.
#USElection2020 https://t.co/MJWKPftOsx"
"228","RT @BettinaForget: Data visualization insights:
Land doesn't vote. People do.
#USElection2020 https://t.co/MJWKPftOsx"
"229","RT @MukiibiH_NV: #McGregorPoirier fight  will no doubt unite millions!
@Jadwong  something 'lighter"" after #UGDecides2021 #USElection2020"
"230","@abhijitsapkal1 A relevant question for all those people trending #TrumpGoneModiNext?

Do the ""reasons"" for which… https://t.co/PTTI8usgWc"
"231","RT @__iamdamian: How Many Likes and Retweets for this champ @KamalaHarris .

First Ever Female US vice President

Let's do 100k+ <U+0001F495>
#USElect…"
"232","RT @crikey_news: Few were enthusiastic about Joe Biden's candidacy for president. Here are the challenges he'll need to cover to prove them…"
"233","RT @HiddenTruth42: Trump won. I don't care what lies you've been told. Wake up, and look around you: this is still Trump Country. #USA #Tru…"
"234","#McGregorPoirier fight  will no doubt unite millions!
@Jadwong  something 'lighter"" after #UGDecides2021 #USElection2020"
"235","RT @UsamaWajid22: Trump: I don't want to go from white house.
But sir you have to.. <U+0001F602><U+0001F923><U+0001F923>
#TrumpMeltdown 
#USElection2020 #USAelection2020 #U…"
"236","This was just shared in my company meeting: https://t.co/zU5V8vgh1F

With some of the world's views being more pola… https://t.co/C7nhsyHqoy"
"237","@Ian64 But it wasn’t Alt-Right on the Night was it Nige?
#USElection2020"
"238","Scott Thompson commentary: Podcast @AM900CHML 
https://t.co/Is24drpMfz
#HamOnt #USElection2020 #Trump #TrumpSeriesFinale"
"239","@khamenei_ir Oh no, @JoeBiden and @KamalaHarris were condemned by @khamenei_ir in the #USElection2020."
"240","RT @cpersiacom: #BernieSanders' Mittens Won the Inauguration Fit Battle ! <U+0001F609>
#persianrug #persiancarpet 
#uselection2020 #rug
#CPERSIA- #Car…"
"241","#BernieSanders' Mittens Won the Inauguration Fit Battle ! <U+0001F609>
#persianrug #persiancarpet 
#uselection2020 #rug… https://t.co/OyylfEAat6"
"242","RT @A7medJa7af: What the #USElection2020 means for #Yemen?

By @LatuffCartoons 
@MintPressNews https://t.co/1sGfkY7E0q"
"243","RT @Coin_Shark: HERE WE GO <U+2192> $600 GIVEAWAY!

3 winners $200 each <U+0001F4B5><U+0001F440>

1) like and RT this tweet <U+2764><U+FE0F><U+0001F501>
2) sign up https://t.co/MalQA8yUW3

Also…"
"244","The Inauguration Of President Joe Biden
https://t.co/CBPpgQc9O2
#Biden #JoeBiden #Inauguration2021 #InaugurationDay… https://t.co/KqNZxfccDn"
"245","Shey @realFFK contest for #USElection2020 ? https://t.co/XXEiXCG6cD"
"246","Here are the best 18 things I have read/watched/heard through this #USElection2020 period - there's some amazing wo… https://t.co/UGzB1jdqF6"
"247","RT @espressoinvest: What does the Biden presidency hold for India and Indian Markets going ahead? Read on to know all about it! 
https://t.…"
"248","What does the Biden presidency hold for India and Indian Markets going ahead? Read on to know all about it!… https://t.co/JkXCfwGT79"
"249","Why did @theJeremyVine decide to give a platform to Nigel Farage today on @BBCRadio2 to talk about the… https://t.co/TxmphPhgYz"
"250","My World Geography Quiz app that I'm addicted to usually only does updates every few months at most. It made an exc… https://t.co/MtKhRm1QnC"
"251","Unity! Inauguration... Unity... Day! <U+0001F1FA><U+0001F1F8> (unity!)
... Did I say ""Unity""?

https://t.co/RiU7xR02uf

#JoeBiden… https://t.co/mxzDAqy35E"
"252","RT @IamHBI: I promise you, as President - <U+0001D470><U+0001D494><U+0001D48D><U+0001D482><U+0001D48E> is going to be treated like every other confessional Faith, I really mean it"" 
- <U+0001D409><U+0001D428><U+0001D41E> <U+0001D401><U+0001D422><U+0001D41D><U+0001D41E><U+0001D427>…"
"253","After President Joe Biden was sworn into office, his administration immediately began undoing his Trump’s policies… https://t.co/Qge1ROEnAk"
"254","Joe Biden is not my president.
#USCapitol #USElection2020 #USInauguration"
"255","This Presidential Term seems to be just a launchpad for the actual ""First Ever for America"" to come...… https://t.co/1EZVQt7cvC"
"256","Biden calls for unity against the working class- the stock markets rise.
@SEP_Manchester 
#BidenHarrisInauguration… https://t.co/86cglKE5Hx"
"257","RT @Iamykona: Uncensored The D Anthem<U+0001F4A5> @Raybekah_ <U+0001F98B> 
Link below

https://t.co/ory1CcnrRQ

#EricaPepperDem #LayconLookAtMe #NengiIsComing  J…"
"258","RT @PaperandPatter: Today is a good day.

#bidenharrisinauguration #inauguration #46 #46thpresident #joebiden #election #election2020 #USel…"
"259","Come on! It was not that difficult!

#JoeBiden #InaugurationDay #Inauguration2021 #Inauguration… https://t.co/6CPCyr9dFO"
"260","The MD and founder of Tomcat, Bob Griffin was on @BBCGlos this morning discussing the opportunities and challenges… https://t.co/JFJj6QugWL"
"261","Trump won. I don't care what lies you've been told. Wake up, and look around you: this is still Trump Country. #USA… https://t.co/gQ1AD6ZFmg"
"262","RT @EDBaranya: <U+0001F1ED><U+0001F1FA> Prime Minister Orbán Viktor congratulates <U+0001F1FA><U+0001F1F8> President Joe Biden: ""The past four years have proved that friendly and mutu…"
"263","It's Joe. Bye, Don...
#POTUS #JoeBiden #USElection2020 #sarcaustic #sarcastic"
"264","Here's to the first woman, black and Indian stepping in the @whitehouse elected.

Congratulations @joebiden &amp;… https://t.co/OWSun6h82T"
"265","<U+0001F1ED><U+0001F1FA> Prime Minister Orbán Viktor congratulates <U+0001F1FA><U+0001F1F8> President Joe Biden: ""The past four years have proved that friendly… https://t.co/EUTEthj9uA"
"266","RT @UrbanLo: Democracy is the ability to vote a failed government and incompetent leaders out of power. #democracy #USElection2020 #DonaldT…"
"267","RT @UrbanLo: Democracy is the ability to vote a failed government and incompetent leaders out of power. #democracy #USElection2020 #DonaldT…"
"268","Democracy is the ability to vote a failed government and incompetent leaders out of power. #democracy… https://t.co/t8AJUcwETc"
"269","US President Joe Biden signed a series of executive actions to reverse the policies of Donald Trump administration… https://t.co/1UqglGgpZW"
"270","Orphans of Liberty: Never appease, never backslide on your commitments #USelection2020 https://t.co/E5q0Dbnigp"
"271","Hey! Did I miss anything? #MAGA #USA #USElection2020  #ByeTrump https://t.co/qdn5wDKAGl"
"272","@McFaul Michael, take a look at this ... what do you think? At the very least, it probably reveals why Rudy won't b… https://t.co/JQfMwX9ysD"
"273","Will U.S.-China Relations Change Under #Biden? We speak to Fmr U.S. government official Kim Hoggard… https://t.co/EiyBF34e5M"
"274","Congratulations the 46th President of United States of America — Joe Biden
.
.
.
.
.
.
.
.
.
.
#gtexthomes… https://t.co/OS7yfRDX2L"
"275","Congratulations the 46th President of United States of America — Joe Biden
.
.
.
.
.
.
.
.
.
.
#gtexthomes… https://t.co/7jL1A9QeeF"
"276","Not a typical RE post, on this one of the most atypical days I can remember.

Definitely a must watch, if you haven… https://t.co/UgMEuLQShJ"
"277","@ProjectLincoln 12 noon. Wednesday. January 20, 2021. USA. By then (pardon the pun), Donald J. Trump is gone.… https://t.co/PSPRovmUZk"
"278","Congratulations Americans. You did it.

#dumptrump2020 #joebiden2020 #unitedstates #uselection2020 

https://t.co/JcnfIgwCOi"
"279","Congratulations Americans. You did it.

#dumptrump2020 #joebiden2020 #unitedstates #uselection2020 

https://t.co/vUepDmki0y"
"280","RT @noahgodwin13: Another burnol moment for Librandus and PISSfulls who are jumping in India after #Bidens &amp; #KamalaHarris victory in the U…"
"281","RT @noahgodwin13: Another burnol moment for Librandus and PISSfulls who are jumping in India after #Bidens &amp; #KamalaHarris victory in the U…"
"282","Another burnol moment for Librandus and PISSfulls who are jumping in India after #Bidens &amp; #KamalaHarris victory in… https://t.co/C0p1gH3acA"
"283","The entire #USElection2020 was watched by my Dad like a teenage girl watching keeping up with the Kardashians <U+0001F602>"
"284","“#Gutpunch “ really @jkenney ?#Alberta You guys were sleeping? Or were hoping for a miracle that #USElection2020 re… https://t.co/0xG3nSkYVR"
"285","Question now the #USElection2020 is over.  Melania will be divorced within 12 months #Trump #MAGA #MelaniaTrump"
"286","A black woman is now US Vice President, racism is now officially defeated. 
#USElection2020 #Biden #Harris #KamalaHarris"
"287","Few were enthusiastic about Joe Biden's candidacy for president. Here are the challenges he'll need to cover to pro… https://t.co/2610MXeyXB"
"288","RT @PaperandPatter: Today is a good day.

#bidenharrisinauguration #inauguration #46 #46thpresident #joebiden #election #election2020 #USel…"
"289","US to rejoin #ParisAgreement &amp; rolled back emission standards + more. A big step in #ClimateAction as world's 2nd l… https://t.co/6lKvNWS2g9"
"290","12 noon, Wednesday, January 20, 2021; by then, Trump is gone. #BidenHarris2020 #USElection2020 https://t.co/1W5ew4MjxG"
"291","RT @srbaeksa: @oranglaut The global threat of far-left wing  socialist nut-jobs &amp; their #BLMAntifaTerroristThugs is now upon us

The coordi…"
"292","@oranglaut The global threat of far-left wing  socialist nut-jobs &amp; their #BLMAntifaTerroristThugs is now upon us… https://t.co/QEB3e75uNe"
"293","#WORLD_UPDATE
<U+0001F7E3>US Senate confirms Avril Haines as director of national intelligence.

#USA #JoeBiden #USElection2020"
"294","Today is a good day.

#bidenharrisinauguration #inauguration #46 #46thpresident #joebiden #election #election2020… https://t.co/kJgNLH3fB1"
"295","<U+0001F44F> Madam Vice President 

#kamalaharris #congress #uselection #uselection2020 #whitehouse #biden #femaleempowerment… https://t.co/ues6yXinMp"
"296","RT @ph4ntombr4in: Exciting day for all of #USA and @JoeBiden and @KamalaHarris . A new age will hopefully begin. Much love to all of USA fr…"
"297","Here comes the #USElection2020 hangover. #BuckleUp"
"298","RT @dzaneza: If there is anything I have learned from the #USElection2020, is that whoever controls mass media and social media controls th…"
"299","@JoeBiden Yes because you stole the #USElection2020 #Trump4Ever"
"300","RT @__Prasoon_: I love you Twitter. #Election2020 #USElection2020 #ElectionDay https://t.co/PAbeTJCBy7"
"301","#Americast How many of the 74 million people who voted for Donald Trump actually believe the #USElection2020 was stolen?"
"302","A sad day for all american comedians. #USElection2020"
"303","#BREAKINGNEWS: #USA HAVE A REAL PRESIDENT NOW https://t.co/vvwvKBMEa5
Congratulation USA, be very welcome back to t… https://t.co/cGTSaS8yHV"
"304","Congrats @JoeBiden &amp; @KamalaHarris.  Wish you all the best...

#46thPresident 
#USElection2020"
"305","RT @BayMads: HISTORY OF US PRESIDENTS:

<U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F468><U+0001F3FE><U+0001F921><U+0001F474><U+0001F3FC>.
#USEle…"
"306","Joe Biden will be sworn in as the 46th president of the United States later today, assuming the helm of a country b… https://t.co/1khBqsU5iw"
"307","Donald Trump left this letter for Joe Biden in the White House <U+0001F606>
#DonaldTrump 
#JoeBiden 
#USElection2020 https://t.co/UwM0TE661R"
"308","Watching USA recent presidential candidates' age and I think that if that trend remains, the next elections will be… https://t.co/ytjbvPrW8H"
"309","Humans have a tendency to envy on others happiness.... They also celebrate it like their own , hoping it is their o… https://t.co/jWowbnJ6pU"
"310","RT @sanasyr6: Today, the first thing comes to mind is that ""maybe"" now my mother and sisters will be able to see where I live and our famil…"
"311","RT @BettinaForget: Data visualization insights:
Land doesn't vote. People do.
#USElection2020 https://t.co/MJWKPftOsx"
"312","""You know the message God sent to the people of Israel [and now to all people including to all Americans], announci… https://t.co/Rq9LEANQw2"
"313","Even when it involves taking the lives of the masses. Tell me how do you expect to have a smooth administration of… https://t.co/To3rQy3ajE"
"314","So what's the latest with the military tribunals?
#USElection2020 #USJustice #USMilitary #MAGA"
"315","Felicitation, at the inauguration ceremony the President-elect Joe Biden and Vice President Kamala Harris have swor… https://t.co/zSw8L02R7C"
"316","RT @ThisIsCMBarnes: ""You're either good or you are evil,
You play a prick and there's no sequel,
And that's the will of the people""

#TheDr…"
"317","RT @BettinaForget: Data visualization insights:
Land doesn't vote. People do.
#USElection2020 https://t.co/MJWKPftOsx"
"318","If there is anything I have learned from the #USElection2020, is that whoever controls mass media and social media… https://t.co/rU5f0UxIzP"
"319","Congratulations to Mr. Joe Biden, the US President. It was overwhelming to watch the speakers ceremony of great val… https://t.co/Kss3aM8Jqk"
"320","RT @o_franco_aleman: <U+0001F923>

La Femme 
Welcome #America 

https://t.co/xmlYQDITpP via @YouTube 

#musique #music #musicvideo #french #USElection…"
"321","So USA got their new president, congrats @JoeBiden and god bless America.#USElection2020 was a hell of an election.… https://t.co/3w5Yv7hia3"
"322","(Must Read): Former American President Donald Trump Last Statement ~ Matters Arising 

#BidenHarrisInauguration… https://t.co/YU896pzDoR"
"323","Throughout the #USElection2020 i said i eould believe the change when i see Biden take oath.

It happened. Unbelievably it happened"
"324","Say what you like about #Trump but watching him makes me laugh. It is entertaining, don't you think?? #USElection2020"
"325","Cheers President Biden and the first woman Vice President. #bidenharris #uselection2020<U+0001F1FA><U+0001F1F8> https://t.co/27m8lZzpsU"
"326","Does the new US administration really offer hope, compassion and decency? Prior to the #USElection2020, Joe Biden p… https://t.co/3PcIfz3LWS"
"327","RT @sanasyr6: Today, the first thing comes to mind is that ""maybe"" now my mother and sisters will be able to see where I live and our famil…"
"328","RT @Geeta_Mohan: . @DrSJaishankar on #USElection2020 
After Trump won, to US audience: analyse on why such a change came about.
To Indian a…"
"329","Funny them yanks, none of them have a clue, not saying Trump was the answer but I'll tell you now Biden definitely isn't #USElection2020"
"330","RT @mattwareham: During #USElection2020 @DanielRosney and I were in Louisiana and Texas talking to real people.

Their thoughts ahead of Bi…"
"331","RT @Iamykona: Uncensored The D Anthem<U+0001F4A5> @Raybekah_ <U+0001F98B> 
Link below

https://t.co/ory1CcnrRQ

#EricaPepperDem #LayconLookAtMe #NengiIsComing  J…"
"332","On this day, A new hope has been made.
Let's celebrate a new journey that will be written in American history for g… https://t.co/jBQLfnzfLU"
"333","RT @svnwnk: #ClownDown - finally!
#USElection2020"
"334","Joe Biden giving a speech the way a president should. After 4 years of self centred, angry, divisive Trump speeches… https://t.co/mQvFlPpmz3"
"335","""The right to dissent peacefully"" - WORDS <U+0001F49F>#BidenHarris #inaugrationday #USElection2020"
"336","Congratulations idiots. #USElection2020"
"337","#UPDATE | Kamala Harris makes history, sworn in as the first woman Vice President of #USA 

#KamalaHarris #USElection2020"
"338","#InaugurationDay ""Us crossroad"" (Italian) documentary about the #USElection2020 is now available online.

Here I ta… https://t.co/xAcT2iua2K"
"339","RT @AudreyEager: The Zoom Call is back for  #InaugurationDay @JoeBiden @KamalaHarris @CNN #CNNElection  #USElection2020 @PabloOHana @hannah…"
"340","#EndPoliceBrutality #EndSARS #EndBadGoveranceInNigeria #EndSWAT #EndBadGovernanceinNIGERIA #davido #Burnaboy… https://t.co/peCPYLS8eR"
"341","Get in there Biden - time to undo some of the last 4 years <U+0001F1FA><U+0001F1F8> <U+0001F1FA><U+0001F1F8> <U+0001F1FA><U+0001F1F8> #USElection2020 #ByeByeTrump"
"342","Least America is back in Safer hands! #America #USElection2020 #BidenHarrisInauguration W"
"343","Come on Joe, back of the net!! President Biden! Fucking ace. #USElection2020"
"344","The Zoom Call is back for  #InaugurationDay @JoeBiden @KamalaHarris @CNN #CNNElection  #USElection2020 @PabloOHana… https://t.co/CSba6Nhzow"
"345","Jennifer Lopez sings at President Joe Biden Inauguration

#JenniferLopez #USElection2020 #joebiden https://t.co/Z7eatlqp5M"
"346","#USElection2020 lady gaga’s rendition of the Star spangled banner <U+0001F1FA><U+0001F1F8> is awesome!  @ladygaga"
"347","Lady GaGa sings National Anthem in Joe Biden President Inauguration

#USElection2020 #ladyGaGa https://t.co/xEKPbLmYGX"
"348","What on earth is lady gaga wearing <U+0001F914><U+0001F914> #BidenHarrisInauguration #USElection2020 #BidenHarris2020"
"349","RT @arctikasylum: @JoeBiden  @realDonaldTrump Congratulations! Goodbye, Cheeto man! Don't let the door hit you on the way out! #JoeBiden #U…"
"350","Lady Gaga fairly blasted that out I’m now in tears. #USElection2020"
"351","#JoeBiden Being inaugurated today as the 46th US President POTUS . Congs <U+0001F4AA> #USElection2020 https://t.co/TzLaRzxGr7"
"352","See Ya Donald, you definitely won’t be missed!! #DonaldJTrump #USElection2020"
"353","RT @ph4ntombr4in: Exciting day for all of #USA and @JoeBiden and @KamalaHarris . A new age will hopefully begin. Much love to all of USA fr…"
"354","Exciting day for all of #USA and @JoeBiden and @KamalaHarris . A new age will hopefully begin. Much love to all of… https://t.co/A6xBhtO6jS"
"355","#PresidentElectBiden has a massive job ahead of him when inaugurated today. The US is so polarised at the moment...… https://t.co/XZLYgvEgvt"
"356","Day 13 and 14 of 66

Made a data model for US election data on PowerBi

#66daysofdata #DataScience #MSPowerBi #USElection2020"
"357","""Taxi for Trump"" As the new president is getting sworn in, the previous one is waiting for his taxi!… https://t.co/THaHY2SPIB"
"358","Follow live coverage of the transition of power in the United States from Donald Trump to Joe Biden
#UsElection2020… https://t.co/whnS2YLfaT"
"359","RT @CarlowCollege: Have a listen back to this great piece on KCLR96FM with @EricDerr talking to @suenunnradio about #JoeBiden reaching the…"
"360","RT @CarlowCollege: Have a listen back to this great piece on KCLR96FM with @EricDerr talking to @suenunnradio about #JoeBiden reaching the…"
"361","RT @ronbrown01: What a way to top off my year in the USA. Best seats in the house, with @NickBryantNY and legendary BBC cameraman Ron Skean…"
"362","RT @DuaSahildua1: @Reuters What is the 25th Amendment? How can it be used to remove Trump? Check this out in this interesting blog. https:/…"
"363","Well done @SkyNews leaving the mics up to find out what your presenters really think of the #USElection2020… https://t.co/RDZvh5XLdW"
"364","RT @Geeta_Mohan: . @DrSJaishankar on #USElection2020 
After Trump won, to US audience: analyse on why such a change came about.
To Indian a…"
"365","@Reuters What is the 25th Amendment? How can it be used to remove Trump? Check this out in this interesting blog.… https://t.co/CgaFJDhqT3"
"366","@GaryBarlow happy birthday Grandpa! How do you feel about such a milestone birthday falling on such a historic inau… https://t.co/nCgqOQjQms"
"367","RT @startimesghana: US PRESIDENTIAL INAUGURATION

Watch the inauguration of Joe Biden as the 46th president of the United States of America…"
"368","RT @EconomicTimes: US Election results: Crowd gathers at iconic Times Square in New York to celebrate Joe Biden's win | LIVE UPDATES - http…"
"369","#NightmareIsOver? This mock @nytimes frontpage was widely circulated in mid-2020 before #USElection2020. 
[Its crea… https://t.co/TOmbAslyam"
"370","RT @sanasyr6: Today, the first thing comes to mind is that ""maybe"" now my mother and sisters will be able to see where I live and our famil…"
"371","RT @sanasyr6: Today, the first thing comes to mind is that ""maybe"" now my mother and sisters will be able to see where I live and our famil…"
"372","What a way to top off my year in the USA. Best seats in the house, with @NickBryantNY and legendary BBC cameraman R… https://t.co/WvNfeVAxi3"
"373","When will newsreaders from #itvnews #bbcnews #channel4news &amp; #skynews stop repeating the amount of votes the #loser… https://t.co/CuBTQhOkQj"
"374","RT @sanasyr6: Today, the first thing comes to mind is that ""maybe"" now my mother and sisters will be able to see where I live and our famil…"
"375","RT @TheresaAFallon: German Der Spiegel’s take on outcome of #USElection2020 on right below.
Trump cover from 2017. https://t.co/qTkCXVx7CK"
"376","#Inauguration2021: @POTUS follows tradition, leaves note for @JoeBiden 
#KamalaHarris #USElection2020 
 https://t.co/8bxbG7kF7z"
"377","It seems that 'innocent until proven guilty' applies to the #USElection2020. Did authorities really investigate or check all the ballots?"
"378","RT @sanasyr6: Today, the first thing comes to mind is that ""maybe"" now my mother and sisters will be able to see where I live and our famil…"
"379","@JoeBiden Congrats to America for having a Corrupted system in a new wrap.
#America #democracy #USElection2020"
"380","RT @sanasyr6: Today, the first thing comes to mind is that ""maybe"" now my mother and sisters will be able to see where I live and our famil…"
"381","RT @sanasyr6: Today, the first thing comes to mind is that ""maybe"" now my mother and sisters will be able to see where I live and our famil…"
"382","Today, the first thing comes to mind is that ""maybe"" now my mother and sisters will be able to see where I live and… https://t.co/s94OzIphwq"
"383","No evidence of Voter fraud?

I beg to differ...

#USElection2020 https://t.co/OnoPUiSEro"
"384","RT @SubDudeLondon: I thought I was done with these @realDonaldTrump pieces but it still looks too close to call. The world desperately awai…"
